sentence_idx,word,tag
0,Благодаря,O
0,",",O
0,господин,O
0,Петров,B-PER
0,.,O
1,Предложението,O
1,на,O
1,господин,O
1,Петров,B-PER
1,е,O
1,всички,O
1,проекти,O
1,на,O
1,решения,O
1,",",O
1,които,O
1,са,O
1,по,O
1,точка,O
1,шеста,O
1,и,O
1,точка,O
1,седма,O
1,от,O
1,Програмата,O
1,и,O
1,касаят,O
1,изменения,O
1,на,O
1,постоянните,O
1,комисии,O
1,на,O
1,Народното,B-ORG
1,събрание,I-ORG
1,",",O
1,да,O
1,бъдат,O
1,разгледани,O
1,в,O
1,обща,O
1,дискусия,O
1,под,O
1,една,O
1,обща,O
1,точка,O
1,и,O
1,накрая,O
1,да,O
1,ги,O
1,гласуваме,O
1,отделно,O
1,",",O
1,разбира,O
1,се,O
1,.,O
2,Има,O
2,ли,O
2,обратно,O
2,становище,O
2,?,O
3,Не,O
3,виждам,O
3,.,O
4,Подлагам,O
4,на,O
4,гласуване,O
4,предложението,O
4,на,O
4,Петър,B-PER
4,Петров,I-PER
4,.,O
5,Гласували,O
5,200,O
5,народни,O
5,представители,O
5,:,O
5,за,O
5,120,O
5,",",O
5,против,O
5,25,O
5,",",O
5,въздържали,O
5,се,O
5,55,O
5,.,O
6,Предложението,O
6,е,O
6,прието,O
6,.,O
7,Прегласуване,O
7,.,O
8,Гласували,O
8,192,O
8,народни,O
8,представители,O
8,:,O
8,за,O
8,115,O
8,",",O
8,против,O
8,25,O
8,",",O
8,въздържали,O
8,се,O
8,52,O
8,.,O
9,Предложението,O
9,е,O
9,прието,O
9,.,O
10,Преди,O
10,да,O
10,преминем,O
10,към,O
10,точка,O
10,първа,O
10,за,O
10,днес,O
10,",",O
10,която,O
10,ще,O
10,бъде,O
10,именно,O
10,промените,O
10,по,O
10,комисиите,O
10,",",O
10,само,O
10,ще,O
10,изчета,O
10,няколко,O
10,съобщения,O
10,.,O
11,Министърът,B-PER
11,на,I-PER
11,отбраната,I-PER
11,на,O
11,Република,B-ORG
11,България,I-ORG
11,в,O
11,изпълнение,O
11,на,O
11,чл,O
11,.,O
11,18,O
11,от,O
11,Закона,O
11,за,O
11,преминаването,O
11,през,O
11,и,O
11,пребиваването,O
11,на,O
11,територията,O
11,на,O
11,Република,O
11,България,O
11,на,O
11,съюзнически,O
11,и,O
11,на,O
11,чужди,O
11,въоръжени,O
11,сили,O
11,уведомява,O
11,Народното,B-ORG
11,събрание,I-ORG
11,",",O
11,че,O
11,със,O
11,своя,O
11,заповед,O
11,е,O
11,разрешил,O
11,преминаването,O
11,през,O
11,въздушното,O
11,пространство,O
11,на,O
11,Република,B-ORG
11,България,I-ORG
11,с,O
11,невоенен,O
11,характер,O
11,на,O
11,самолет,O
11,с,O
11,екипаж,O
11,от,O
11,състава,O
11,на,O
11,Кралските,B-ORG
11,военновъздушни,I-ORG
11,сили,I-ORG
11,на,I-ORG
11,Австралия,I-ORG
11,.,O
12,Издадената,O
12,заповед,O
12,е,O
12,в,O
12,рамките,O
12,на,O
12,компетентността,O
12,на,O
12,министъра,B-PER
12,на,I-PER
12,отбраната,I-PER
12,",",O
12,касаеща,O
12,преценка,O
12,на,O
12,военните,O
12,параметри,O
12,на,O
12,преминаването,O
12,с,O
12,оглед,O
12,отбраната,O
12,на,O
12,страната,O
12,.,O
13,По,O
13,въпросите,O
13,относно,O
13,експортния,O
13,контрол,O
13,и,O
13,съответствието,O
13,с,O
13,международни,O
13,санкционни,O
13,режими,O
13,",",O
13,задължителни,O
13,за,O
13,Република,B-ORG
13,България,I-ORG
13,",",O
13,разрешенията,O
13,за,O
13,прелитане,O
13,на,O
13,въздушното,O
13,пространство,O
13,на,O
13,страната,O
13,следва,O
13,да,O
13,се,O
13,предоставят,O
13,на,O
13,заинтересованите,O
13,държави,O
13,след,O
13,положително,O
13,становище,O
13,от,O
13,компетентните,O
13,в,O
13,тези,O
13,области,O
13,държавни,O
13,органи,O
13,–,O
13,Министерството,B-ORG
13,на,I-ORG
13,икономиката,I-ORG
13,и,I-ORG
13,индустрията,I-ORG
13,и,O
13,Министерството,B-ORG
13,на,I-ORG
13,външните,I-ORG
13,работи,I-ORG
13,.,O
14,Уведомлението,O
14,е,O
14,постъпило,O
14,на,O
14,4,O
14,май,O
14,2022,O
14,г,O
14,.,O
14,с,O
14,вх,O
14,.,O
14,№,O
14,47,O
14,203,O
14,09,O
14,-,O
14,45,O
14,и,O
14,е,O
14,предоставено,O
14,на,O
14,Комисията,B-ORG
14,по,I-ORG
14,отбрана,I-ORG
14,.,O
15,В,O
15,Народното,B-ORG
15,събрание,I-ORG
15,са,O
15,постъпили,O
15,:,O
15,-,O
15,Доклад,O
15,за,O
15,изпълнението,O
15,на,O
15,Плана,O
15,за,O
15,действие,O
15,за,O
15,2022,O
15,г,O
15,.,O
15,",",O
15,с,O
15,мерките,O
15,",",O
15,произтичащи,O
15,от,O
15,членството,O
15,на,O
15,Република,B-ORG
15,България,I-ORG
15,в,O
15,Европейския,B-ORG
15,съюз,I-ORG
15,",",O
15,към,O
15,31,O
15,март,O
15,2022,O
15,г,O
15,.,O
15,",",O
15,приет,O
15,с,O
15,Решение,O
15,№,O
15,249,O
15,на,O
15,Министерския,O
15,от,O
15,2022,O
15,г,O
15,.,O
15,;,O
15,-,O
15,Актуализация,O
15,за,O
15,2022,O
15,г,O
15,.,O
15,на,O
15,Националната,O
15,програма,O
15,за,O
15,реформи,O
15,на,O
15,Република,B-ORG
15,България,I-ORG
15,",",O
15,приета,O
15,с,O
15,Решение,O
15,№,O
15,247,O
15,на,O
15,Министерския,B-ORG
15,съвет,I-ORG
15,от,O
15,2022,O
15,г,O
15,.,O
15,;,O
15,-,O
15,Конвергентна,O
15,програма,O
15,на,O
15,Република,B-ORG
15,България,I-ORG
15,2022,O
15,–,O
15,2025,O
15,г,O
15,.,O
15,",",O
15,приета,O
15,с,O
15,Решение,O
15,№,O
15,262,O
15,на,O
15,Министерския,B-ORG
15,съвет,I-ORG
15,от,O
15,2022,O
15,г,O
15,.,O
16,С,O
16,писмо,O
16,на,O
16,председателя,O
16,на,O
16,Народното,B-ORG
16,събрание,I-ORG
16,материалите,O
16,са,O
16,изпратени,O
16,на,O
16,всички,O
16,постоянни,O
16,комисии,O
16,.,O
17,На,O
17,3,O
17,май,O
17,2022,O
17,г,O
17,.,O
17,в,O
17,Народното,B-ORG
17,събрание,I-ORG
17,от,O
17,Икономическия,B-ORG
17,и,I-ORG
17,социален,I-ORG
17,съвет,I-ORG
17,са,O
17,постъпили,O
17,становища,O
17,на,O
17,тема,O
17,„,O
17,Законодателната,O
17,инициатива,O
17,на,O
17,Европейската,O
17,комисия,O
17,„,O
17,Подготвени,O
17,за,O
17,цел,O
17,55,O
17,в,O
17,българския,O
17,контекст,O
17,“,O
17,и,O
17,резолюция,O
17,относно,O
17,„,O
17,Проекта,O
17,на,O
17,Закон,O
17,за,O
17,изменение,O
17,и,O
17,допълнение,O
17,на,O
17,Закона,O
17,за,O
17,защита,O
17,от,O
17,домашното,O
17,насилие,O
17,",",O
17,публикуван,O
17,в,O
17,Портала,B-ORG
17,за,I-ORG
17,обществени,I-ORG
17,консултации,I-ORG
17,на,O
17,13,O
17,януари,O
17,2021,O
17,г,O
17,.,O
18,“,O
18,С,O
18,писма,O
18,на,O
18,ИСС,O
18,материалите,O
18,са,O
18,адресирани,O
18,и,O
18,предоставени,O
18,на,O
18,Комисията,B-ORG
18,по,I-ORG
18,труда,I-ORG
18,",",I-ORG
18,социалната,I-ORG
18,и,I-ORG
18,демографската,I-ORG
18,политика,I-ORG
18,",",O
18,Комисията,B-ORG
18,по,I-ORG
18,икономическа,I-ORG
18,политика,I-ORG
18,и,I-ORG
18,иновации,I-ORG
18,",",O
18,Комисията,B-ORG
18,по,I-ORG
18,въпросите,I-ORG
18,на,I-ORG
18,Европейския,I-ORG
18,съюз,I-ORG
18,",",O
18,Комисията,B-ORG
18,по,I-ORG
18,енергетика,I-ORG
18,",",O
18,Комисията,B-ORG
18,по,I-ORG
18,транспорт,I-ORG
18,и,I-ORG
18,съобщения,I-ORG
18,",",O
18,Комисията,B-ORG
18,по,I-ORG
18,околната,I-ORG
18,среда,I-ORG
18,и,I-ORG
18,водите,I-ORG
18,",",O
18,Комисията,B-ORG
18,по,I-ORG
18,регионалната,I-ORG
18,политика,I-ORG
18,",",I-ORG
18,благоустройство,I-ORG
18,и,I-ORG
18,местно,I-ORG
18,самоуправление,I-ORG
18,и,O
18,Комисията,B-ORG
18,по,I-ORG
18,бюджет,I-ORG
18,и,I-ORG
18,финанси,I-ORG
18,.,O
19,С,O
19,писмо,O
19,на,O
19,председателя,O
19,на,O
19,Народното,B-ORG
19,събрание,I-ORG
19,резолюцията,O
19,относно,O
19,Проекта,O
19,на,O
19,Закон,O
19,за,O
19,изменение,O
19,и,O
19,допълнение,O
19,на,O
19,Закона,O
19,за,O
19,защита,O
19,от,O
19,домашното,O
19,насилие,O
19,",",O
19,публикуван,O
19,в,O
19,Портала,B-ORG
19,за,I-ORG
19,обществени,I-ORG
19,консултации,I-ORG
19,на,O
19,13,O
19,януари,O
19,2021,O
19,г,O
19,.,O
19,",",O
19,е,O
19,предоставена,O
19,на,O
19,Комисията,B-ORG
19,по,I-ORG
19,конституционни,I-ORG
19,и,I-ORG
19,правни,I-ORG
19,въпроси,I-ORG
19,и,O
19,Комисията,B-ORG
19,по,I-ORG
19,прякото,I-ORG
19,участие,I-ORG
19,на,I-ORG
19,гражданите,I-ORG
19,и,I-ORG
19,взаимодействието,I-ORG
19,с,I-ORG
19,гражданското,I-ORG
19,общество,I-ORG
19,.,O
20,От,O
20,Националния,B-ORG
20,статистически,I-ORG
20,институт,I-ORG
20,е,O
20,постъпила,O
20,информация,O
20,за,O
20,инфлация,O
20,и,O
20,индекси,O
20,на,O
20,потребителските,O
20,цени,O
20,за,O
20,месец,O
20,март,O
20,2022,O
20,г,O
20,.,O
20,",",O
20,Стопанска,O
20,конюнктура,O
20,през,O
20,месец,O
20,април,O
20,2022,O
20,г,O
20,.,O
20,",",O
20,индекси,O
20,на,O
20,цени,O
20,на,O
20,производител,O
20,на,O
20,вътрешния,O
20,и,O
20,международния,O
20,пазар,O
20,в,O
20,промишлеността,O
20,март,O
20,2022,O
20,г,O
20,.,O
21,Преминаваме,O
21,към,O
21,точка,O
21,първа,O
21,от,O
21,дневния,O
21,ред,O
21,за,O
21,днес,O
21,",",O
21,а,O
21,именно,O
21,:,O
21,ПРОМЕНИ,O
21,В,O
21,СЪСТАВА,O
21,НА,O
21,КОМИСИИ,O
21,.,O
22,Депозирани,O
22,са,O
22,няколко,O
22,проекта,O
22,.,O
23,Моля,O
23,първо,O
23,проектите,O
23,",",O
23,внесени,O
23,от,O
23,парламентарната,O
23,група,O
23,на,O
23,„,B-ORG
23,Има,I-ORG
23,такъв,I-ORG
23,народ,I-ORG
23,“,I-ORG
23,",",O
23,да,O
23,бъдат,O
23,представени,O
23,.,O
24,Заповядайте,O
24,",",O
24,госпожо,O
24,Василева,B-PER
24,.,O
25,Уважаеми,O
25,господин,O
25,Председател,O
25,",",O
25,уважаеми,O
25,колеги,O
25,!,O
26,Ще,O
26,направя,O
26,едно,O
26,процедурно,O
26,предложение,O
26,",",O
26,с,O
26,оглед,O
26,дневния,O
26,ред,O
26,",",O
26,който,O
26,бе,O
26,приет,O
26,и,O
26,гласуван,O
26,вчера,O
26,и,O
26,съобразно,O
26,с,O
26,хода,O
26,на,O
26,пленарното,O
26,заседание,O
26,от,O
26,вчера,O
26,",",O
26,днес,O
26,първа,O
